,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,isNewBuilt,hasStormProtector,hasStorageRoom,hasGuestRoom,price
0,75523,3,0,1,63,9373,0,1,0,7,7559081.5
1,80771,39,1,1,98,39381,1,0,1,2,8085989.5
2,55712,58,0,1,19,34457,0,0,1,9,5574642.1
3,32316,47,0,0,6,27939,0,1,0,3,3232561.2
4,70429,19,1,1,90,38045,1,0,1,4,7055052.0
5,39223,36,0,1,17,39489,0,1,0,1,3926647.2
6,58682,10,1,1,99,6450,1,1,0,5,5876376.5
7,86929,100,1,0,11,98155,1,0,0,10,8696869.3
8,51522,3,0,0,61,9047,1,1,1,5,5154055.2
9,39686,42,0,0,15,71019,1,1,1,3,3970892.1
10,23563,21,0,1,90,91058,1,0,1,10,2366397.3
11,96470,74,1,0,21,92029,1,1,1,9,9652258.1
12,19127,31,1,0,5,7475,0,0,0,4,1914688.8
13,13087,44,1,0,77,40475,1,0,0,0,1320803.4
14,79770,3,0,1,69,54812,0,1,0,7,7986665.8
15,75985,60,1,0,67,6517,1,1,1,5,7607322.9
16,64169,88,0,1,6,61711,1,1,0,9,6420823.1
17,99371,31,1,1,16,96297,1,1,1,8,9944705.3
18,25966,37,1,1,17,22818,0,0,0,6,2604486.6
19,41792,43,1,1,10,80768,1,1,1,5,4187667.7
20,28795,64,1,1,50,97667,1,1,1,0,2888047.9
21,92383,12,0,0,78,71982,0,0,1,1,9244344.0
22,33279,64,1,0,65,91690,1,1,0,1,3333351.9
23,34782,47,0,0,73,35331,0,1,0,2,3482594.0
24,13386,51,0,0,90,87978,0,0,1,4,1342509.3
25,20883,56,0,0,54,85377,0,0,1,10,2091505.8
26,95121,46,0,1,3,9382,0,0,0,10,9515440.4
27,6071,72,1,0,14,8410,1,1,0,2,612471.3
28,11844,43,0,0,55,46144,1,0,0,10,1189939.3
29,52078,7,1,1,73,20372,1,1,0,5,5217708.6
30,25897,98,1,0,92,20344,0,1,1,10,2598763.3
31,85443,40,1,1,54,339,1,0,1,2,8555234.1
32,11412,78,0,0,79,73807,1,1,0,0,1145642.9
33,97550,89,1,1,98,78155,1,0,0,0,9765099.4
34,76485,47,1,0,9,90254,1,0,0,1,7653300.8
35,26169,29,0,0,62,66489,0,1,1,9,2622399.3
36,24239,87,1,0,91,73056,0,0,0,3,2427801.8
37,36239,8,0,1,24,66771,0,1,1,5,3627708.0
38,10500,88,0,1,49,10533,1,1,0,5,1057021.3
39,87060,27,0,1,91,51803,0,0,0,7,8711426.0
40,66683,19,1,1,6,50801,0,0,1,3,6677649.1
41,66569,59,1,1,56,15574,1,1,1,10,6667802.6
